id,date,primary_type,latitude,longitude,community_area,lat,lon,cluster,rank,tipo_ponto
27808,2023-10-21T15:03:00.000,HOMICIDE,41.851355335,-87.723988296,29,41.851355335,-87.723988296,1,2,top 2
27807,2023-10-21T12:46:00.000,HOMICIDE,41.7615614,-87.590874706,43,41.7615614,-87.590874706,2,1,top 1
27806,2023-10-21T04:10:00.000,HOMICIDE,41.867697344,-87.697156855,29,41.867697344,-87.697156855,1,2,top 2
27805,2023-10-20T16:03:00.000,HOMICIDE,41.771683815,-87.570984165,43,41.771683815,-87.570984165,2,1,top 1
27804,2023-10-18T22:55:00.000,HOMICIDE,41.884588704,-87.733455762,26,41.884588704,-87.733455762,1,2,top 2
27802,2023-10-17T21:20:00.000,HOMICIDE,41.696724927,-87.628006563,49,41.696724927,-87.628006563,2,1,top 1
27801,2023-10-17T04:30:00.000,HOMICIDE,41.751305105,-87.603592263,44,41.751305105,-87.603592263,2,1,top 1
27800,2023-10-17T00:53:00.000,HOMICIDE,41.74505265,-87.602582077,44,41.74505265,-87.602582077,2,1,top 1
27798,2023-10-15T02:53:00.000,HOMICIDE,41.872858002,-87.661747434,28,41.872858002,-87.661747434,4,3,top 3
27797,2023-10-15T01:10:00.000,HOMICIDE,41.855705085,-87.6685929,31,41.855705085,-87.6685929,4,3,top 3
27796,2023-10-14T17:08:00.000,HOMICIDE,41.848073974,-87.710322018,30,41.848073974,-87.710322018,1,2,top 2
27795,2023-10-13T23:44:00.000,HOMICIDE,41.752839063,-87.576011776,43,41.752839063,-87.576011776,2,1,top 1
27794,2023-10-13T16:43:00.000,HOMICIDE,41.775156446,-87.664098467,67,41.775156446,-87.664098467,2,1,top 1
27793,2023-10-12T02:38:00.000,HOMICIDE,41.780261052,-87.701952195,66,41.780261052,-87.701952195,2,1,top 1
27792,2023-10-10T12:27:00.000,HOMICIDE,41.910434393,-87.719003446,23,41.910434393,-87.719003446,1,2,top 2
27791,2023-10-09T23:54:00.000,HOMICIDE,41.808588646,-87.66668135,61,41.808588646,-87.66668135,2,1,top 1
27790,2023-10-09T20:11:00.000,HOMICIDE,41.724494263,-87.643297231,73,41.724494263,-87.643297231,2,1,top 1
27788,2023-10-09T15:03:00.000,HOMICIDE,41.780352232,-87.66424243,67,41.780352232,-87.66424243,2,1,top 1
27786,2023-10-07T11:02:00.000,HOMICIDE,41.760578867,-87.587473675,43,41.760578867,-87.587473675,2,1,top 1
