ano,mes_nome,focos,mes_num,data
2015,Outubro,19531,10,2015-10-01
2015,Novembro,4731,11,2015-11-01
2015,Dezembro,2563,12,2015-12-01
2016,Janeiro,392,1,2016-01-01
2016,Fevereiro,1048,2,2016-02-01
2016,Março,767,3,2016-03-01
2016,Abril,1449,4,2016-04-01
2016,Maio,1782,5,2016-05-01
2016,Junho,3187,6,2016-06-01
2016,Julho,8675,7,2016-07-01
2016,Agosto,13730,8,2016-08-01
2016,Setembro,13256,9,2016-09-01
2016,Outubro,9968,10,2016-10-01
2016,Novembro,3647,11,2016-11-01
2016,Dezembro,932,12,2016-12-01
2017,Janeiro,491,1,2017-01-01
2017,Fevereiro,376,2,2017-02-01
2017,Março,687,3,2017-03-01
2017,Abril,696,4,2017-04-01
2017,Maio,1428,5,2017-05-01
2017,Junho,2858,6,2017-06-01
2017,Julho,6258,7,2017-07-01
2017,Agosto,10815,8,2017-08-01
2017,Setembro,26975,9,2017-09-01
2017,Outubro,12393,10,2017-10-01
2017,Novembro,2345,11,2017-11-01
2017,Dezembro,1440,12,2017-12-01
2018,Janeiro,521,1,2018-01-01
2018,Fevereiro,235,2,2018-02-01
2018,Março,842,3,2018-03-01
2018,Abril,549,4,2018-04-01
2018,Maio,1729,5,2018-05-01
2018,Junho,2922,6,2018-06-01
2018,Julho,5220,7,2018-07-01
2018,Agosto,7992,8,2018-08-01
2018,Setembro,11467,9,2018-09-01
2018,Outubro,5041,10,2018-10-01
2018,Novembro,1763,11,2018-11-01
2018,Dezembro,1168,12,2018-12-01
2019,Janeiro,1213,1,2019-01-01
2019,Fevereiro,574,2,2019-02-01
2019,Março,936,3,2019-03-01
2019,Abril,753,4,2019-04-01
2019,Maio,1719,5,2019-05-01
2019,Junho,4088,6,2019-06-01
2019,Julho,5346,7,2019-07-01
2019,Agosto,12906,8,2019-08-01
2019,Setembro,22989,9,2019-09-01
2019,Outubro,8356,10,2019-10-01
2019,Novembro,3251,11,2019-11-01
2019,Dezembro,1743,12,2019-12-01
2020,Janeiro,662,1,2020-01-01
2020,Fevereiro,709,2,2020-02-01
2020,Março,890,3,2020-03-01
2020,Abril,1158,4,2020-04-01
2020,Maio,1481,5,2020-05-01
2020,Junho,3487,6,2020-06-01
2020,Julho,5663,7,2020-07-01
2020,Agosto,10155,8,2020-08-01
2020,Setembro,21802,9,2020-09-01
2020,Outubro,13440,10,2020-10-01
2020,Novembro,2957,11,2020-11-01
2020,Dezembro,1415,12,2020-12-01
2021,Janeiro,625,1,2021-01-01
2021,Fevereiro,607,2,2021-02-01
2021,Março,686,3,2021-03-01
2021,Abril,820,4,2021-04-01
2021,Maio,2649,5,2021-05-01
2021,Junho,4181,6,2021-06-01
2021,Julho,6955,7,2021-07-01
2021,Agosto,15043,8,2021-08-01
2021,Setembro,19939,9,2021-09-01
2021,Outubro,8389,10,2021-10-01
2021,Novembro,1901,11,2021-11-01
2021,Dezembro,933,12,2021-12-01
2022,Janeiro,763,1,2022-01-01
2022,Fevereiro,685,2,2022-02-01
2022,Março,751,3,2022-03-01
2022,Abril,853,4,2022-04-01
2022,Maio,3578,5,2022-05-01
2022,Junho,4239,6,2022-06-01
2022,Julho,6713,7,2022-07-01
2022,Agosto,10567,8,2022-08-01
2022,Setembro,13651,9,2022-09-01
2022,Outubro,11594,10,2022-10-01
2022,Novembro,2154,11,2022-11-01
2022,Dezembro,1337,12,2022-12-01
2023,Janeiro,585,1,2023-01-01
2023,Fevereiro,759,2,2023-02-01
2023,Março,845,3,2023-03-01
2023,Abril,993,4,2023-04-01
2023,Maio,2668,5,2023-05-01
2023,Junho,4472,6,2023-06-01
2023,Julho,6459,7,2023-07-01
2023,Agosto,6850,8,2023-08-01
2023,Setembro,13230,9,2023-09-01
2023,Outubro,8371,10,2023-10-01
2023,Novembro,3242,11,2023-11-01
2023,Dezembro,2239,12,2023-12-01
2024,Janeiro,1044,1,2024-01-01
2024,Fevereiro,795,2,2024-02-01
2024,Março,1806,3,2024-03-01
2024,Abril,930,4,2024-04-01
2024,Maio,3437,5,2024-05-01
2024,Junho,5217,6,2024-06-01
2024,Julho,7463,7,2024-07-01
2024,Agosto,18620,8,2024-08-01
2024,Setembro,29319,9,2024-09-01
2024,Outubro,8024,10,2024-10-01
2024,Novembro,2944,11,2024-11-01
2024,Dezembro,1869,12,2024-12-01
2025,Janeiro,726,1,2025-01-01
2025,Fevereiro,634,2,2025-02-01
2025,Março,691,3,2025-03-01
2025,Abril,595,4,2025-04-01
2025,Maio,2527,5,2025-05-01
2025,Junho,3681,6,2025-06-01
2025,Julho,5303,7,2025-07-01
2025,Agosto,8615,8,2025-08-01
2025,Setembro,14543,9,2025-09-01
2025,Outubro,11856,10,2025-10-01
2025,Novembro,5204,11,2025-11-01
2025,Dezembro,1683,12,2025-12-01
