"koi_period","koi_time0bk","koi_duration","koi_depth","koi_model_snr","koi_impact","koi_ror","koi_srho","koi_num_transits","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_steff","koi_slogg","koi_srad","koi_smet","binary_class","id","dia","telescopio","id_formulario"
9.3789167,176.45197,3.3427,563.5,42.6,0.671,0.023007,0.97711,141,0,0,0,0,5684,4.493,0.808,-0.66,"CONFIRMED",57,1,1,112
4.72941177,132.93871,2.234,434.3,14.6,0.236,0.018507,3.48779,236,0,0,0,0,4224,4.662,0.603,-0.2,"CONFIRMED",58,1,1,112
0.824000125,131.80421,0.855,183.1,12.3,0.7697,0.013728,3.33776,1620,0,0,0,0,3396,4.991,0.28,-0.1,"CONFIRMED",59,1,1,112
9.99115241,134.39335,2.657,391.7,16.7,0.691,0.019277,1.89512,102,0,0,0,0,4838,4.524,0.796,0.18,"CONFIRMED",60,1,1,112
19.0231361,139.65988,3.431,401.6,19.7,0.698,0.019553,1.63025,70,0,0,0,0,5569,4.459,0.954,0.14,"CONFIRMED",61,1,1,112
110.9643706,187.04621,12.831,1283.2,42.1,0.729,0.035366,0.17592,13,0,0,0,0,4441,4.695,0.546,-0.86,"CONFIRMED",62,1,1,112
47.1484324,175.2689,3.1347,1113.8,54.5,0.668,0.032227,6.29958,29,0,0,0,0,4975,4.579,0.734,-0.14,"CONFIRMED",63,1,1,112
4.37033233,131.92696,2.845,177.8,17.7,0.093,0.012063,1.64385,307,0,0,0,0,5657,4.282,1.182,0.14,"CONFIRMED",64,1,1,112
24.81097206,156.506971,3.2245,2090.8,123.9,0.039,0.041991,7.04712,53,0,0,0,0,6086,4.511,0.921,-0.26,"CONFIRMED",65,1,1,112
68.1609897,187.03346,5.662,295.6,25,0.459,0.015986,2.35964,16,0,0,0,0,5677,4.563,0.828,-0.18,"CONFIRMED",66,1,1,112
4.92031063,135.40577,4.046,81,17.7,0.242,0.00824,0.59154,272,0,0,0,0,5845,4.2,1.314,-0.02,"CONFIRMED",67,1,1,112
6.42199919,134.58037,2.6192,161.6,25.4,0.281,0.011701,2.77143,209,0,0,0,0,5985,4.468,0.981,-0.04,"CONFIRMED",68,1,1,112
88.0712769,214.51304,6.758,885.4,18.1,0.347,0.026801,2.17141,15,0,0,0,0,4939,4.506,0.819,0.16,"CONFIRMED",69,1,1,112
8.50698069,134.64421,2.938,295.5,20.7,0.816,0.017613,0.63929,160,0,0,0,0,5822,4.428,0.986,-0.1,"CONFIRMED",70,1,1,112
20.13490007,171.36734,3.7962,1035.2,64.7,0.798,0.032994,0.87716,69,0,0,0,0,4963,4.501,0.826,0.16,"CONFIRMED",71,1,1,112
18.87022157,178.71167,3.1404,1096.6,72.7,0.013,0.029843,5.61288,71,0,0,0,0,5402,4.452,0.865,-0.24,"CONFIRMED",72,1,1,112
25.75274977,136.43851,2.7678,738.9,36.7,0.516,0.02519,7.12817,49,0,0,0,0,4963,4.501,0.826,0.16,"CONFIRMED",73,1,1,112
8.884922995,169.991686,2.07004,16053.4,388.2,0.069,0.114124,11.62061,153,0,0,0,0,5332,4.5,0.843,-0.08,"CONFIRMED",74,1,1,112
2.168451063,132.14107,1.458,466.9,45.5,0.207,0.019923,5.9055,623,0,0,0,0,6153,4.382,1.109,0.02,"CONFIRMED",75,1,1,112
0.679336747,132.856178,1.2188,240.7,36.7,0.209,0.014073,3.18974,1523,0,0,0,0,5440,4.491,0.913,0.21,"CONFIRMED",76,1,1,112
9.6887216,131.8295,2,655.5,18.1,0.118,0.023646,10.74611,10,0,0,0,0,6457,4.358,1.196,-0.06,"CONFIRMED",77,1,1,112
19.7383992,133.28544,4.894,168.1,20.3,0.732,0.01279,0.48868,63,0,0,0,0,5903,4.3,1.156,-0.1,"CONFIRMED",78,1,1,112
20.0261412,146.91109,1.611,421.2,10.7,0.957,0.025305,2.00738,54,0,0,0,0,5237,4.572,0.826,0.24,"CONFIRMED",79,1,1,112
13.72462702,180.64807,6.9758,281.8,50.1,0.748,0.016659,0.11232,77,0,0,0,0,5817,4.293,1.171,0,"CONFIRMED",80,1,1,112
14.97031664,134.50507,5.884,290.5,28.9,0.352,0.015631,0.53698,70,0,0,0,0,5726,4.123,1.483,0.21,"CONFIRMED",81,1,1,112
60.0853848,153.25707,7.007,432.2,51.7,0.79,0.020987,0.39852,19,0,0,0,0,6028,4.459,1.047,0.21,"CONFIRMED",82,1,1,112
124.827797,208.79191,6.479,647.5,17.1,0.096,0.022786,4.0876,11,0,0,0,0,5349,4.353,1.032,0.18,"CONFIRMED",83,1,1,112
85.6542476,155.12346,6.866,476,36.6,0.012,0.019774,2.3666,16,0,0,0,0,5818,4.065,1.647,0.24,"CONFIRMED",84,1,1,112
17.76076524,137.50778,1.6679,1287.2,42.6,0.627,0.034334,17.97851,76,0,0,0,0,3826,4.744,0.516,-0.06,"CONFIRMED",85,1,1,112
3.990105908,355.840837,2.4108,6154.9,247.8,0.582,0.074711,1.78404,212,0,0,0,0,5926,4.519,0.913,-0.12,"CONFIRMED",86,1,1,112
10.21418792,170.70466,5.8201,303.8,78.6,0.016,0.015775,0.45909,131,0,0,0,0,5843,4.25,1.332,0.3,"CONFIRMED",87,1,1,112
12.27057043,137.57434,3.002,295.5,18.7,0.026,0.015746,4.00699,109,0,0,0,0,6075,4.486,0.969,-0.12,"CONFIRMED",88,1,1,112
22.08551599,135.23432,2.1727,3157.4,48.5,0.656,0.054067,10.19643,49,0,0,0,0,3828,4.712,0.565,0.3,"CONFIRMED",89,1,1,112
10.916108342,133.009227,3.6496,1479,302.2,0.7699,0.038633,0.64466,143,0,0,0,0,5575,4.521,0.932,0.36,"CONFIRMED",90,1,1,112
8.13121389,137.99254,4.2386,111.8,55.3,0.622,0.010132,0.45775,131,0,0,0,0,6181,4.22,1.424,0.14,"CONFIRMED",91,1,1,112
