"pais";"codigo";"regiao";"pib_per_capita";"expectativa_vida";"fecundidade";"mortalidade_infantil";"escolaridade"
"Guyana";"GUY";"South America";49312.36;70.1802;2.412;2.6017835;8.70243
"Haiti";"HTI";"North America";2939.1238;64.9356;2.656;5.442646;5.3823
"Honduras";"HND";"North America";6467.88;72.8842;2.5;1.5468012;7.510229
"Hungary";"HUN";"Europe";40333.254;77.024;1.486;0.3802804;12.331622
"Iceland";"ISL";"Europe";69268.125;82.6911;1.54;0.28564507;13.908926
"India";"IND";"Asia";8870.55;72.0026;1.975;2.7993588;6.88
"Indonesia";"IDN";"Asia";13889.949;71.1457;2.127;1.8362341;8.697224
"Iran";"IRN";"Asia";17044.816;77.6545;1.695;1.1692469;10.846712
"Iraq";"IRQ";"Asia";13202.323;72.3242;3.249;2.252971;6.7800465
"Ireland";"IRL";"Europe";117659.73;82.4118;1.598;0.3802129;11.724999
"Israel";"ISR";"Asia";47671.246;82.408;2.83;0.33835953;13.534595
"Italy";"ITA";"Europe";52842.63;83.7157;1.198;0.2756641;10.828128
"Jamaica";"JAM";"North America";11398.8125;71.4789;1.358;1.8127005;9.95991
"Japan";"JPN";"Asia";47387.22;84.7123;1.208;0.24005859;12.684047
"Jordan";"JOR";"Asia";10308.782;77.8145;2.639;1.3324817;10.24
"Kazakhstan";"KAZ";"Asia";34703.234;74.4021;3.012;0.96430075;12.547174
"Kenya";"KEN";"Africa";5691.825;63.6459;3.208;3.9624865;8.62471
"Kiribati";"KIR";"Oceania";3175.0247;66.4731;3.147;5.4525332;9.128582
"Kuwait";"KWT";"Asia";47790.19;80.4047;1.525;0.83534324;7.566007
"Kyrgyzstan";"KGZ";"Asia";6575.7754;71.677;2.8;1.7030121;12.065888
"Laos";"LAO";"Asia";8372.156;68.9637;2.421;3.050139;6.060246
"Latvia";"LVA";"Europe";37277.723;76.1898;1.338;0.27521682;13.40944
"Lebanon";"LBN";"Asia";11330.269;77.817;2.239;1.6986514;10.37
"Lesotho";"LSO";"Africa";2592.457;57.3749;2.694;6.1312156;7.7298837
"Liberia";"LBR";"Africa";1616.9237;62.1625;3.95;8.729361;6.169892
"Libya";"LBY";"Africa";12476.598;69.3389;2.355;3.1698165;7.7786064
"Lithuania";"LTU";"Europe";46333.902;76.025;1.201;0.34456912;13.610692
"Luxembourg";"LUX";"Europe";130048.92;82.2294;1.396;0.22368361;12.589372
"Madagascar";"MDG";"Africa";1629.6055;63.6317;3.972;6.363023;4.59252
"Malawi";"MWI";"Africa";1649.2987;67.3535;3.648;4.963498;5.24374
"Malaysia";"MYS";"Asia";32857.668;76.6571;1.55;0.82646424;11.09
