"EMPRESA";"Nome.da.Empresa.";"ano";"Open";"SETOR";"SUBSETOR";"SEGMENTO";"Idade_Segmento_Setor";"ROI_ADJ";"ROI_ADJ_2";"MARGEM.LÍQUIDA.value";"DIVIDEND.YIELD..DY..value";"P.L.value";"VPA.value";"LPA.value";"STATUS_GRAHAM";"DIF_GRAHAM";"PERATVNAOCOR";"Y";"metric_SEGMENTO_MARGEM.LÍQUIDA.value_Q50";"DIVIDEND.YIELD..DY..value_RANKSCORE";"classe_cap_v2";"DÍVIDA.BRUTA...PATRIMÔNIO.value"
"RNEW3";"RENOVA ENERGIA";2024;1.95000004768372;"Utilidade Pública";"Energia Elétrica";"Energia Elétrica";111;-38.9162548269486;-17.8137672924656;-4.0546353110543;0;-33.487779328859;3.7397996045886;-0.037028433203136;0;-3.30148663766145;0.171875;NA;12.244100391755;0;"Null";1.1517716662022
"ZAMP3";"ZAMP";2024;5.25;"Consumo Cíclico";"Hoteis e Restaurantes";"Restaurante e Similares";35;4.58715612384048;-8.86287973441287;-2.5463031648934;0;-16.043730301141;5.0613852574342;-0.35527897147428;0;-11.454897796544;0.2265625;NA;-3.07562751382265;NA;"Null";0.80134177142529
"PPAR3";"POLPAR S.A.";2023;NA;"Outros";"Outros";"Outros";77;NA;NA;0;0;4.0359747817653;694.10294117647;60.647058823529;NA;NA;NA;NA;0;0;"Null";0
"VALE3";"Vale";2023;79;"Materiais Básicos";"Mineração";"Minerais Metálicos";80;22.5392736959113;7.9379213042018;42.349056103979;8.5320927092709;4.2056940144681;41.223108178788;21.133254034707;1;59.62128833728;0.233766233766234;-5.2685434326785;9.8309914722809;0.0133744882596818;"Null";0.35449356535123
"VALE3";"Vale";2024;88.6800003051758;"Materiais Básicos";"Mineração";"Minerais Metálicos";81;-5.2685434326785;22.5392736959113;19.19583209174;7.8727714481865;8.7734447734001;42.071972152306;8.7992803276154;1;17.2740139428927;0.270833333333333;NA;0;66.8498670248218;"Null";0.35296520304768
"TELB3";"TELEBRAS";2024;16.0900001525879;"Comunicações";"Telecomunicações";"Telecomunicações";25;-2.67246924237363;-63.4593539927305;-30.552656768408;0;-10.621873077829;16.503819410499;-1.4743162420842;0;-40.1362703970959;0.182291666666667;NA;-10.088933122082;NA;"Null";0.073456266645904
"LIGT3";"LIGHT";2024;4.59000015258789;"Utilidade Pública";"Energia Elétrica";"Energia Elétrica";111;72.7861728350306;-55.1165644412271;1.8075595590524;0;11.680635363555;8.3093376802492;0.68489425027008;1;6.11005889843431;0.294270833333333;NA;12.244100391755;0;"Null";3.4388058486514
"NGRD3";"NEOGRID PARTICIPAÇÕES S.A.";2024;1.48000001907349;"Tecnologia da Informação";"Programas e Serviços";"Programas e Serviços";40;-14.9241830872902;-42.3483868883792;0.97382995058176;1.1832;114.17065394183;1.8852660601012;0.010948522731917;0;-0.723314887039934;0.153645833333333;NA;-1.3186161691186;22.2204634628929;"Null";0.048608487316143
"SNSY5";NA;2023;5.03999996185303;"Materiais Básicos";"Materiais Diversos";"Materiais Diversos";104;-35.7552603663076;-16.7197477015197;-39.841811842508;0;-0.12930512959549;-142.96504430373;-25.985048006303;0;-292.652021156067;0.241558441558442;13.9880965263192;-39.841811842508;NA;"Null";-0.070323407955268
"RCSL4";"RECRUSUL";2024;4.88000011444092;"Bens Industriais";"Material de Transporte";"Material Rodoviário";74;-26.6666699780357;-74.5401261874014;-14.445560430653;0;-13.663634408392;0.0036923799396737;-0.064404533500947;0;-5.45137382302252;0.1640625;NA;3.5056254944161;0;"Null";0
"SIMH3";NA;2023;11.789999961853;"Financeiro";"Holdings Diversificadas";"Holdings Diversificadas";85;-32.4570455078582;33.3497943458049;1.9772499914178;9.6662417159763;12.242042450834;3.3008501794269;0.55219543855932;0;-3.65145105786874;0.272727272727273;42.6583952222715;81.5566193393339;100;"Null";13.819563352599
"TRPL3";"CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA";2024;28.0499992370605;"Utilidade Pública";"Energia Elétrica";"Energia Elétrica";111;28.6699451929376;-1.72236625700901;45.710030468881;6.2174414668547;8.2212077597649;26.378176369757;4.3120185057838;1;20.0295970754789;0.614583333333333;NA;12.244100391755;29.1473560254638;"Null";0.53329058339001
"NORD3";NA;2024;8.47999954223633;"Bens Industriais";"Máquinas e Equipamentos";"Máq. e Equip. Industriais";62;-51.8796992211636;-47.6377937382645;-286.54159869494;0;-3.0157658980928;-24.547945470288;-1.0610903193858;0;-30.032848999653;0.330729166666667;NA;9.9535803665133;0;"Null";-0.23346293926568
"PDTC3";NA;2023;7.07999992370605;"Tecnologia da Informação";"Programas e Serviços";"Programas e Serviços";39;-56.2857151031494;7.36196350425873;2.6659010745632;0;24.941236467692;1.7073189698917;0.12268838411294;0;-2.08452752986883;0.623376623376623;0.980391240220748;2.1642644703729;0;"Null";1.0191185141509
"POMO4";"MARCOPOLO";2024;2.8199999332428;"Bens Industriais";"Material de Transporte";"Material Rodoviário";74;153.825841087688;-2.19544796038556;12.212066103485;4.709219858156;8.179282242492;3.7445238723932;0.86193382145132;1;3.71440713211375;0.216145833333333;NA;3.5056254944161;79.4326241134751;"Null";0.68240664721943
"SULA4";"SUL AMÉRICA";2024;NA;NA;NA;NA;NA;NA;NA;1.6330671794945;1.4097898230088;34.729373106393;6.3678844312759;0.2602983927267;NA;NA;NA;NA;2.7235624651241;23.9067405569491;"Null";0.40162687221591
"SLED3";"SARAIVA";2023;13.5;NA;NA;NA;NA;-51.6837483282773;-65.7649233219072;133.70754074125;0;0.54929966311934;-36.087725137672;12.015299558933;0;-109.831855712627;0.249350649350649;NA;7.3319873888246;0;"Null";-0.20240604877095
"SLED3";"SARAIVA";2024;6.59999990463257;NA;NA;NA;NA;NA;-51.6837483282773;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.7235624651241;NA;"Null";NA
"WHRL3";"WHIRLPOOL";2024;4.78000020980835;"Consumo Cíclico";"Utilidades Domésticas";"Eletrodomésticos";97;-0.213429203837;-24.8488115752152;2.1929077404235;7.7363636363636;26.247349075305;1.2989540707767;0.16763597677526;0;-2.29420080597331;0.268229166666667;NA;2.14215649783315;95.6458308047093;"Null";0.71562972259932
"NRTQ3";NA;2024;NA;"Saúde";"Medicamentos e Outros Produtos";"Medicamentos e Outros Produtos";104;NA;NA;15.1475777492;0;0;19.765241199181;2.8949820820841;NA;NA;NA;NA;2.0825968607607;0;"Null";0.2574867046452
"SCAR3";"SÃO CARLOS";2024;18.0699996948242;"Financeiro";"Exploração de Imóveis";"Exploração de Imóveis";61;51.5151546996388;-55.1758907854922;21.763335299992;0;5.2111546893872;29.624790343577;5.2771413706074;1;39.0680762153657;0.161458333333333;NA;54.1240765201065;0;"Null";0.90984392466103
"MTIG3";"METALGRÁFICA IGUAÇU S.A.";2024;156.300003051758;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.7235624651241;NA;"Null";NA
"TIET3";"AES TIETE";2024;NA;NA;NA;NA;NA;NA;NA;20.564382885376;0.035943992773261;NA;NA;0.25884317463422;NA;NA;NA;NA;2.7235624651241;0.60952611218122;"Null";NA
"PTBL3";"PORTOBELLO";2024;8.10999965667725;"Bens Industriais";"Construção e Engenharia";"Produtos para Construção";90;-6.54029352595211;-10.5819234654878;-1.5997202954243;2.8157155495979;-30.009193302328;2.737375065601;-0.24859048774967;0;-10.5603769326205;0.171875;NA;8.6369845459566;17.4970896863084;"Null";3.5737561344686
"JSLG3";"JSL";2024;5.51000022888184;"Bens Industriais";"Transporte";"Transporte Rodoviário";67;128.497923191493;-18.6182670541895;4.6442182629309;2.5451229718876;10.137121416754;5.8498783806924;1.2281593056016;1;4.43465042540301;0.231770833333333;NA;8.05042192338795;42.6044549554441;"Null";4.4457387172376
"CSUD3";NA;2024;12.1899995803833;"Financeiro";"Serviços Financeiros Diversos";"Serviços Financeiros Diversos";22;66.3556293627322;-0.23216959178425;16.676473694534;5.9457932907511;9.2511761512711;10.271674641148;2.1154066985646;1;8.29642558477663;0.390625;NA;20.518648244895;98.3459565159301;"Null";0.16012586292028
"USIM5";"USIMINAS";2024;7.15000009536743;"Materiais Básicos";"Siderurgia e Metalurgia";"Siderurgia";82;33.2875427209755;-43.983738325766;5.4055761434954;3.5389371367061;7.7918416407097;19.037624877551;1.1922726908954;1;15.3027547963028;0.270833333333333;NA;5.4055761434954;24.17160836769;"Null";0.24799617700629
"HETA3";"HERCULES S.A. FABRICA DE TALHERES";2023;96;"Consumo Cíclico";"Utilidades Domésticas";"Utensílios Domésticos";111;0;2294.0148259485;6806.8516042781;0;0.24040231561271;-688.06641490492;399.33059611063;0;-2582.4099343477;NA;0;6806.8516042781;0;"Null";-0.92495112818379
